City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
kaitangata,-46.2817,169.8464,44.98,overcast clouds,0.0,0.0,84,100,1.77,NZ
port alfred,-33.5906,26.891,56.59,clear sky,0.0,0.0,81,3,9.4,ZA
hay river,60.8156,-115.7999,62.58,few clouds,0.0,0.0,59,20,9.22,CA
chiredzi,-21.05,31.6667,60.13,broken clouds,0.0,0.0,75,75,2.86,ZW
jamestown,42.097,-79.2353,76.59,clear sky,0.0,0.0,79,0,9.22,US
beringovskiy,63.05,179.3167,50.74,broken clouds,0.0,0.0,65,63,6.82,RU
kungurtug,50.5994,97.5228,66.51,scattered clouds,0.0,0.0,43,43,1.45,RU
tasiilaq,65.6145,-37.6368,32.16,broken clouds,0.0,0.0,82,84,0.67,GL
rockland,41.1668,-74.0496,89.44,few clouds,0.0,0.0,68,23,3.67,US
matara,5.9485,80.5353,77.7,overcast clouds,0.0,0.0,89,100,11.5,LK
cherskiy,68.75,161.3,47.52,overcast clouds,0.0,0.0,38,99,12.48,RU
nanchong,30.7951,106.0847,68.41,overcast clouds,0.0,0.0,91,100,12.17,CN
vestmannaeyjar,63.4427,-20.2734,52.05,overcast clouds,0.0,0.0,96,100,6.53,IS
itarema,-2.9248,-39.9167,77.41,broken clouds,0.0,0.0,78,77,12.84,BR
pokaran,26.9167,71.9167,84.52,overcast clouds,0.0,0.0,72,100,15.05,IN
fortuna foothills,32.6578,-114.4119,107.69,few clouds,0.0,0.0,24,20,6.91,US
teahupoo,-17.8333,-149.2667,73.36,light rain,0.37,0.0,79,21,13.76,PF
west bay,19.3667,-81.4167,84.27,few clouds,0.0,0.0,80,20,10.36,KY
northam,51.0333,-4.2167,60.39,overcast clouds,0.0,0.0,90,100,6.53,GB
rankovce,42.1696,22.1162,59.79,clear sky,0.0,0.0,47,0,4.99,MK
dikson,73.5069,80.5464,47.95,broken clouds,0.0,0.0,87,51,13.56,RU
qaanaaq,77.484,-69.3632,43.68,moderate rain,1.88,0.0,96,100,8.5,GL
dali,25.7,100.1833,69.42,overcast clouds,0.0,0.0,78,100,2.95,CN
hofn,64.2539,-15.2082,52.41,few clouds,0.0,0.0,79,15,3.76,IS
nikolskoye,59.7035,30.7861,62.8,clear sky,0.0,0.0,94,3,3.96,RU
egvekinot,66.3167,-179.1667,47.64,overcast clouds,0.0,0.0,49,94,9.55,RU
rafraf,37.1904,10.1837,73.71,clear sky,0.0,0.0,67,0,4.72,TN
bemidji,47.4736,-94.8803,71.69,clear sky,0.0,0.0,75,0,0.0,US
narsaq,60.9167,-46.05,50.22,clear sky,0.0,0.0,79,3,2.64,GL
broken hill,-31.95,141.4333,59.2,overcast clouds,0.0,0.0,57,98,15.68,AU
port-gentil,-0.7193,8.7815,73.87,broken clouds,0.0,0.0,86,79,14.47,GA
kita,13.0349,-9.4895,73.33,overcast clouds,0.0,0.0,96,100,3.36,ML
ramshir,30.8946,49.4092,89.46,clear sky,0.0,0.0,59,6,6.2,IR
ternate,0.8,127.4,83.43,scattered clouds,0.0,0.0,71,29,6.6,ID
huarmey,-10.0681,-78.1522,62.89,few clouds,0.0,0.0,85,19,11.27,PE
flin flon,54.7682,-101.865,55.94,overcast clouds,0.0,0.0,78,100,11.1,CA
gorontalo,0.5412,123.0595,86.43,few clouds,0.0,0.0,66,16,7.54,ID
saint-leu,-21.15,55.2833,67.03,few clouds,0.0,0.0,66,18,2.8,RE
fort smith,35.3859,-94.3986,75.24,heavy intensity rain,4.21,0.0,88,20,3.44,US
kirakira,-10.4544,161.9205,84.45,overcast clouds,0.0,0.0,70,100,5.1,SB
san quintin,30.4833,-115.95,75.13,broken clouds,0.0,0.0,61,66,17.56,MX
georgetown,5.4112,100.3354,87.73,few clouds,0.0,0.0,79,20,3.44,MY
pandan,14.0453,124.1694,86.11,broken clouds,0.0,0.0,72,76,6.98,PH
yellowknife,62.456,-114.3525,66.72,broken clouds,0.0,0.0,45,75,3.44,CA
kutum,14.2,24.6667,74.91,overcast clouds,0.0,0.0,56,93,4.07,SD
anadyr,64.75,177.4833,59.5,scattered clouds,0.0,0.0,47,40,11.18,RU
sitka,57.0531,-135.33,57.09,overcast clouds,0.0,0.0,77,100,0.0,US
karratha,-20.7377,116.8463,75.56,clear sky,0.0,0.0,60,0,3.6,AU
srednekolymsk,67.45,153.6833,59.29,clear sky,0.0,0.0,35,3,6.62,RU
roald,62.5833,6.1333,56.16,overcast clouds,0.0,0.0,87,100,3.44,NO
biak,-0.9131,122.8766,80.58,scattered clouds,0.0,0.0,75,37,8.12,ID
alice springs,-23.7,133.8833,67.55,clear sky,0.0,0.0,22,0,4.61,AU
basco,20.4487,121.9702,85.71,broken clouds,0.0,0.0,75,64,11.72,PH
dasoguz,41.8363,59.9666,85.95,clear sky,0.0,0.0,35,0,4.61,TM
huanren,41.2647,125.3667,79.92,broken clouds,0.0,0.0,65,77,4.63,CN
iqaluit,63.7506,-68.5145,40.73,scattered clouds,0.0,0.0,93,40,2.3,CA
ancud,-41.8697,-73.8203,40.23,light rain,0.12,0.0,94,100,7.09,CL
hobyo,5.3505,48.5268,75.18,scattered clouds,0.0,0.0,83,41,22.24,SO
neyshabur,36.2133,58.7958,80.06,clear sky,0.0,0.0,14,0,3.11,IR
potosi,-19.5836,-65.7531,43.7,few clouds,0.0,0.0,17,21,3.0,BO
khasan,42.4308,130.6434,68.32,overcast clouds,0.0,0.0,94,100,7.83,RU
pevek,69.7008,170.3133,31.53,light snow,0.0,0.37,99,100,12.03,RU
mossendjo,-2.9506,12.7261,64.45,overcast clouds,0.0,0.0,96,88,4.41,CG
barrow,71.2906,-156.7887,44.62,scattered clouds,0.0,0.0,76,40,24.16,US
amapa,1.0,-52.0,73.49,overcast clouds,0.0,0.0,91,98,2.3,BR
bereda,43.2686,-7.5406,65.41,overcast clouds,0.0,0.0,100,100,4.94,ES
bethel,41.3712,-73.414,81.34,scattered clouds,0.0,0.0,83,41,3.91,US
hami,42.8,93.45,82.06,clear sky,0.0,0.0,20,0,0.76,CN
nemuro,43.3236,145.575,61.68,clear sky,0.0,0.0,82,0,2.48,JP
santa helena,-2.2311,-45.3,70.84,clear sky,0.0,0.0,91,9,2.13,BR
miyako,39.6367,141.9525,71.01,overcast clouds,0.0,0.0,98,100,4.05,JP
raudeberg,61.9875,5.1352,52.47,overcast clouds,0.0,0.0,77,100,12.21,NO
nanortalik,60.1432,-45.2371,48.69,clear sky,0.0,0.0,80,4,4.9,GL
talnakh,69.4865,88.3972,61.21,scattered clouds,0.0,0.0,60,36,10.45,RU
goma,-1.6792,29.2228,65.55,overcast clouds,0.0,0.0,66,95,4.25,CD
longyearbyen,78.2186,15.6401,49.84,broken clouds,0.0,0.0,87,75,2.3,SJ
clinton,42.587,-82.9199,84.22,scattered clouds,0.0,0.0,59,40,9.22,US
linxia,35.6003,103.2064,61.25,clear sky,0.0,0.0,55,0,1.45,CN
saskylakh,71.9167,114.0833,54.36,overcast clouds,0.0,0.0,60,100,7.72,RU
ketchikan,55.3422,-131.6461,63.07,broken clouds,0.0,0.0,72,75,6.91,US
borba,-4.3878,-59.5939,79.21,broken clouds,0.0,0.0,70,82,2.28,BR
burnie,-41.0667,145.9167,56.91,overcast clouds,0.0,0.0,83,89,12.33,AU
ulaangom,49.9811,92.0667,70.38,overcast clouds,0.0,0.0,37,100,4.85,MN
grand gaube,-20.0064,57.6608,70.2,scattered clouds,0.0,0.0,71,47,5.99,MU
severnyy,50.677,36.5532,55.44,clear sky,0.0,0.0,94,0,8.95,RU
lubango,-14.9172,13.4925,54.03,clear sky,0.0,0.0,45,0,4.36,AO
klaksvik,62.2266,-6.589,47.32,overcast clouds,0.0,0.0,86,99,6.08,FO
saldanha,-33.0117,17.9442,44.65,overcast clouds,0.0,0.0,80,100,8.03,ZA
norman wells,65.282,-126.8329,69.84,light intensity shower rain,0.0,0.0,64,75,8.05,CA
faya,18.3851,42.4509,64.51,few clouds,0.0,0.0,48,21,6.31,SA
ovruch,51.3246,28.8035,57.29,clear sky,0.0,0.0,92,7,6.35,UA
okhotsk,59.3833,143.3,64.69,overcast clouds,0.0,0.0,76,97,7.11,RU
mount gambier,-37.8333,140.7667,55.11,moderate rain,1.1,0.0,70,100,12.15,AU
vila velha,-20.3297,-40.2925,69.75,scattered clouds,0.0,0.0,93,40,0.0,BR
fairbanks,64.8378,-147.7164,68.34,light rain,0.51,0.0,59,75,9.22,US
bengkulu,-3.8004,102.2655,80.1,broken clouds,0.0,0.0,79,84,3.42,ID
pierre,44.3683,-100.351,87.85,clear sky,0.0,0.0,38,0,11.5,US
itoman,26.1247,127.6694,89.98,few clouds,0.0,0.0,76,20,10.36,JP
santa cruz del sur,20.7147,-77.9956,77.54,scattered clouds,0.0,0.0,85,37,10.83,CU
bantry,51.6833,-9.45,52.79,scattered clouds,0.0,0.0,90,44,0.6,IE
tyup,42.7276,78.3648,73.63,clear sky,0.0,0.0,31,0,1.68,KG
capao da canoa,-29.7456,-50.0097,63.43,overcast clouds,0.0,0.0,92,100,1.99,BR
yambio,4.5721,28.3955,67.17,overcast clouds,0.0,0.0,97,100,3.15,SS
tottori,35.5,134.2333,80.67,broken clouds,0.0,0.0,74,75,13.8,JP
praia,14.9215,-23.5087,77.54,broken clouds,0.0,0.0,78,75,6.91,CV
mount isa,-20.7333,139.5,65.97,clear sky,0.0,0.0,19,0,6.91,AU
zyryanka,65.75,150.85,64.29,clear sky,0.0,0.0,41,6,0.63,RU
simiti,7.9579,-73.9436,76.6,broken clouds,0.0,0.0,93,74,3.27,CO
codrington,-38.2667,141.9667,57.56,overcast clouds,0.0,0.0,69,100,14.0,AU
luanda,-8.8368,13.2343,67.26,overcast clouds,0.0,0.0,82,95,6.76,AO
mar del plata,-38.0023,-57.5575,49.08,clear sky,0.0,0.0,67,0,8.01,AR
collie,-33.3667,116.15,56.55,broken clouds,0.0,0.0,86,77,3.83,AU
belaya gora,68.5333,146.4167,64.27,clear sky,0.0,0.0,34,0,10.2,RU
gravdal,68.1214,13.5031,53.96,overcast clouds,0.0,0.0,90,100,17.0,NO
chokurdakh,70.6333,147.9167,59.85,broken clouds,0.0,0.0,27,77,6.17,RU
whitehorse,60.7161,-135.0538,65.17,scattered clouds,0.0,0.0,42,40,14.97,CA
waingapu,-9.6567,120.2641,82.26,overcast clouds,0.0,0.0,60,96,15.79,ID
alugan,12.2188,125.4808,84.4,broken clouds,0.0,0.0,77,58,7.85,PH
pakdasht,35.4752,51.6807,84.2,clear sky,0.0,0.0,18,0,2.98,IR
saint-pierre,-21.3393,55.4781,65.28,clear sky,0.0,0.0,64,0,6.91,RE
puerto lopez,4.0845,-72.956,72.45,overcast clouds,0.0,0.0,93,100,1.97,CO
bambous virieux,-20.3428,57.7575,70.05,scattered clouds,0.0,0.0,73,40,11.5,MU
flinders,-34.5833,150.8552,63.37,broken clouds,0.0,0.0,79,71,4.0,AU
cururupu,-1.8283,-44.8683,73.22,clear sky,0.0,0.0,90,9,2.28,BR
concepcion del oro,24.6333,-101.4167,62.73,overcast clouds,0.0,0.0,61,100,8.86,MX
mirnyy,62.5353,113.9611,67.35,light rain,0.53,0.0,69,41,5.19,RU
ponnani,10.767,75.9252,78.12,overcast clouds,0.0,0.0,87,100,7.52,IN
nisia floresta,-6.0911,-35.2086,75.58,overcast clouds,0.0,0.0,94,100,7.05,BR
mayumba,-3.432,10.6554,70.47,overcast clouds,0.0,0.0,91,91,7.25,GA
plettenberg bay,-34.0527,23.3716,54.43,broken clouds,0.0,0.0,59,64,3.71,ZA
castro,-24.7911,-50.0119,59.2,overcast clouds,0.0,0.0,85,100,1.95,BR
nome,64.5011,-165.4064,50.07,overcast clouds,0.0,0.0,81,100,13.8,US
tuktoyaktuk,69.4541,-133.0374,60.8,broken clouds,0.0,0.0,82,75,9.22,CA
saint-francois,46.4154,3.9054,57.67,clear sky,0.0,0.0,94,0,3.44,FR
roswell,34.0232,-84.3616,75.09,clear sky,0.0,0.0,90,0,0.0,US
devils lake,48.1128,-98.8651,73.38,clear sky,0.0,0.0,64,0,10.36,US
qasigiannguit,68.8193,-51.1922,50.25,overcast clouds,0.0,0.0,94,100,6.4,GL
ipixuna,-1.7625,-48.8043,75.43,broken clouds,0.0,0.0,80,84,3.15,BR
galesong,-5.3166,119.3661,84.22,broken clouds,0.0,0.0,75,51,6.17,ID
agadir,30.4202,-9.5982,75.65,broken clouds,0.0,0.0,47,59,3.13,MA
chuy,-33.6971,-53.4616,50.81,overcast clouds,0.0,0.0,90,98,5.91,UY
atar,20.5169,-13.0499,89.82,clear sky,0.0,0.0,38,4,4.94,MR
pangai,-19.8,-174.35,78.91,few clouds,0.0,0.0,78,20,11.5,TO
lazaro cardenas,17.9583,-102.2,82.35,overcast clouds,0.0,0.0,81,89,3.4,MX
rawson,-43.3002,-65.1023,42.46,overcast clouds,0.0,0.0,47,100,9.48,AR
namibe,-15.1961,12.1522,61.61,clear sky,0.0,0.0,89,0,5.03,AO
novoilinsk,51.6829,108.7143,68.0,overcast clouds,0.0,0.0,71,100,5.35,RU
maloy,61.9353,5.1136,53.33,overcast clouds,0.0,0.0,78,99,13.04,NO
sibolga,1.7427,98.7792,83.1,overcast clouds,0.0,0.0,68,99,1.32,ID
monrovia,6.3005,-10.7969,75.81,light rain,0.11,0.0,83,100,11.3,LR
tabas,33.5959,56.9244,88.02,clear sky,0.0,0.0,11,0,2.68,IR
thompson,55.7435,-97.8558,62.76,broken clouds,0.0,0.0,82,75,5.75,CA
houma,29.5958,-90.7195,81.0,clear sky,0.0,0.0,89,0,0.0,US
sarkand,45.41,79.9186,88.83,clear sky,0.0,0.0,21,4,1.48,KZ
oranjestad,12.524,-70.027,82.35,few clouds,0.0,0.0,83,20,17.27,AW
thongwa,16.7619,96.5278,75.36,moderate rain,1.33,0.0,92,100,14.23,MM
nouadhibou,20.931,-17.0347,75.18,clear sky,0.0,0.0,88,6,6.91,MR
las colinas,8.55,-80.0833,74.75,overcast clouds,0.0,0.0,79,100,4.74,PA
teguldet,57.3064,88.1667,58.12,light rain,0.65,0.0,96,100,5.55,RU
port stanley,-51.7,-57.85,30.49,few clouds,0.0,0.0,78,18,16.4,FK
husavik,66.0449,-17.3389,47.43,scattered clouds,0.0,0.0,89,48,3.47,IS
sola,-13.8833,167.55,80.62,moderate rain,2.66,0.0,78,90,17.83,VU
victoria,22.2855,114.1577,91.26,clear sky,0.0,0.0,74,0,5.01,HK
tazovskiy,67.4667,78.7,46.42,overcast clouds,0.0,0.0,74,100,7.87,RU
sao filipe,14.8961,-24.4956,74.03,broken clouds,0.0,0.0,89,80,5.53,CV
butaritari,3.0707,172.7902,81.14,light rain,0.97,0.0,77,29,6.87,KI
dongsheng,39.8161,109.9776,62.49,moderate rain,1.25,0.0,51,100,8.19,CN
kavieng,-2.5744,150.7967,82.4,light rain,0.26,0.0,76,100,11.1,PG
kurumkan,54.3,110.3,68.54,overcast clouds,0.0,0.0,78,100,5.64,RU
muros,42.7762,-9.0603,67.68,overcast clouds,0.0,0.0,81,100,14.18,ES
goderich,43.7501,-81.7165,73.9,clear sky,0.0,0.0,78,0,1.14,CA
terney,45.0503,136.6092,61.9,overcast clouds,0.0,0.0,94,100,6.17,RU
faanui,-16.4833,-151.75,77.27,few clouds,0.0,0.0,74,13,10.0,PF
kultuk,51.7208,103.6956,54.93,light rain,0.72,0.0,98,100,0.63,RU
caiaponia,-16.9567,-51.8103,64.54,scattered clouds,0.0,0.0,43,47,3.85,BR
yangambi,0.8102,24.4336,70.88,light rain,0.55,0.0,94,100,1.59,CD
praxedis guerrero,31.3667,-106.0167,98.06,overcast clouds,0.0,0.0,24,87,8.7,MX
daru,-9.0763,143.2092,79.9,few clouds,0.0,0.0,81,22,8.77,PG
general roca,-39.0333,-67.5833,47.62,overcast clouds,0.0,0.0,52,100,18.63,AR
balikpapan,-1.2675,116.8289,85.19,scattered clouds,0.0,0.0,79,40,5.75,ID
konskie,51.1917,20.4061,64.24,clear sky,0.0,0.0,56,3,4.97,PL
waddan,29.1614,16.139,72.82,clear sky,0.0,0.0,64,0,4.27,LY
savannah,32.0835,-81.0998,83.95,clear sky,0.0,0.0,88,0,4.61,US
jieshi,22.8134,115.8257,86.07,clear sky,0.0,0.0,71,0,4.43,CN
freeport,40.6576,-73.5832,91.38,clear sky,0.0,0.0,50,0,14.97,US
yulara,-25.2406,130.9889,66.58,clear sky,0.0,0.0,23,0,6.38,AU
kabo,7.6994,18.629,70.11,moderate rain,3.09,0.0,98,100,1.25,CF
lichinga,-13.3128,35.2406,55.49,few clouds,0.0,0.0,82,20,12.66,MZ
poya,-21.35,165.15,80.35,overcast clouds,0.0,0.0,69,100,6.73,NC
port elizabeth,-33.918,25.5701,48.49,clear sky,0.0,0.0,93,0,4.61,ZA
saint anthony,45.0205,-93.218,80.53,clear sky,0.0,0.0,49,0,8.05,US
jutai,-5.1833,-68.9,74.14,scattered clouds,0.0,0.0,87,47,2.84,BR
salisbury,51.0693,-1.7957,65.68,broken clouds,0.0,0.0,84,75,4.61,GB
khonsa,27.0167,95.5667,69.03,overcast clouds,0.0,0.0,99,100,1.61,IN
constitucion,-35.3333,-72.4167,51.71,clear sky,0.0,0.0,86,8,7.72,CL
sassenberg,52.0,8.05,61.84,overcast clouds,0.0,0.0,93,100,9.28,DE
kavaratti,10.5669,72.642,81.0,overcast clouds,0.0,0.0,80,100,21.23,IN
vao,-22.6667,167.4833,74.01,overcast clouds,0.0,0.0,89,100,17.87,NC
bahia blanca,-38.7196,-62.2724,50.36,light rain,0.12,0.0,27,100,4.03,AR
alofi,-19.0595,-169.9187,80.49,broken clouds,0.0,0.0,65,75,8.05,NU
wanning,18.8003,110.3967,85.48,few clouds,0.0,0.0,72,11,2.71,CN
fujin,47.26,132.0322,73.06,scattered clouds,0.0,0.0,62,43,14.23,CN
katherine,-14.4667,132.2667,79.12,clear sky,0.0,0.0,22,5,14.97,AU
cheyenne,41.14,-104.8203,87.94,clear sky,0.0,0.0,17,0,10.36,US
ponta do sol,32.6667,-17.1,70.72,clear sky,0.0,0.0,82,7,7.18,PT
puerto colombia,10.9878,-74.9547,82.49,overcast clouds,0.0,0.0,83,99,12.88,CO
bogande,12.9714,-0.1436,82.63,overcast clouds,0.0,0.0,61,98,4.76,BF
sakti,22.0333,82.9667,81.45,light rain,0.35,0.0,81,100,3.06,IN
sakata,38.9167,139.855,75.38,light rain,0.29,0.0,88,75,2.3,JP
wucheng,29.6008,118.175,92.44,overcast clouds,0.0,0.0,59,89,4.21,CN
sampit,-2.5333,112.95,80.91,broken clouds,0.0,0.0,89,70,2.77,ID
nazare,-13.035,-39.0144,66.7,broken clouds,0.0,0.0,99,53,2.82,BR
abnub,27.2696,31.1511,77.22,clear sky,0.0,0.0,40,2,10.8,EG
havre-saint-pierre,50.2334,-63.5986,64.76,overcast clouds,0.0,0.0,68,100,9.22,CA
nhulunbuy,-12.2333,136.7667,81.21,overcast clouds,0.0,0.0,41,97,19.57,AU
vanavara,60.34,102.2797,71.1,few clouds,0.0,0.0,49,24,4.9,RU
axim,4.8699,-2.2405,73.18,broken clouds,0.0,0.0,77,58,6.76,GH
sakakah,29.9697,40.2064,87.37,clear sky,0.0,0.0,20,1,5.5,SA
veraval,20.9,70.3667,81.18,overcast clouds,0.0,0.0,82,100,15.03,IN
geraldton,-28.7667,114.6,59.41,overcast clouds,0.0,0.0,82,100,11.5,AU
aklavik,68.2191,-135.0107,73.22,broken clouds,0.0,0.0,38,76,10.74,CA
sydney mines,46.2367,-60.2177,66.99,few clouds,0.0,0.0,90,20,6.91,CA
leningradskiy,69.3833,178.4167,36.1,overcast clouds,0.0,0.0,99,100,5.41,RU
uitenhage,-33.7576,25.3971,47.79,overcast clouds,0.0,0.0,82,100,5.82,ZA
general pico,-35.6566,-63.7568,46.89,clear sky,0.0,0.0,42,0,5.86,AR
douentza,14.9951,-2.9517,86.7,overcast clouds,0.0,0.0,52,96,2.84,ML
caceres,39.522,-6.3748,74.44,few clouds,0.0,0.0,39,12,3.6,ES
sioux lookout,50.1001,-91.917,64.47,light intensity shower rain,3.0,0.0,77,75,19.57,CA
dickinson,29.4608,-95.0513,88.12,few clouds,0.0,0.0,80,20,10.36,US
esperance,-33.8667,121.9,57.67,scattered clouds,0.0,0.0,76,38,19.53,AU
alihe,50.5667,123.7167,79.02,few clouds,0.0,0.0,54,11,5.88,CN
mujiayingzi,42.1167,118.7833,78.71,scattered clouds,0.0,0.0,53,28,4.54,CN
kruisfontein,-34.0033,24.7314,49.19,overcast clouds,0.0,0.0,76,100,6.35,ZA
high level,58.5169,-117.136,55.51,light rain,0.41,0.0,94,100,9.22,CA
namtsy,62.7161,129.6658,76.82,overcast clouds,0.0,0.0,57,90,5.99,RU
san patricio,28.017,-97.5169,85.89,clear sky,0.0,0.0,71,2,14.09,US
talcahuano,-36.7167,-73.1167,49.68,overcast clouds,0.0,0.0,100,100,5.75,CL
magadan,59.5667,150.8,72.54,scattered clouds,0.0,0.0,71,40,3.24,RU
